행정구역코드,시도명,시군구명,연도,총인구,고령인구_65세이상,의사수_예측,구급차수,응급시설수_총,의사_인구10만명당,구급차_인구10만명당,응급시설_인구10만명당,취약지수,취약지역_여부,목표_의사수,추가_의사수,목표_구급차수,추가_구급차수,목표_응급시설수,추가_응급시설수
30110,대전광역시,동구,2025,223780.7018,51022.0,566.8,8.0,2.0,253.2836815,3.574928462,0.893732116,0.902248103,0.0,873.0765231,307.0,29.05302289,22.0,6.183673344,5.0
30170,대전광역시,서구,2025,464633.1361,78523.0,2245.133333,7.0,3.0,483.2056001,1.506564955,0.645670695,0.857332415,0.0,1812.758114,0.0,60.32243634,54.0,12.83908539,10.0
30200,대전광역시,유성구,2025,385320.0,48165.0,1004.266667,7.0,1.0,260.6318558,1.816671857,0.259524551,0.887013881,0.0,1503.319291,500.0,50.02536273,44.0,10.64744634,10.0
30140,대전광역시,중구,2025,219651.8219,54254.0,1228.133333,6.0,3.0,559.1273147,2.731595827,1.365797914,0.858393819,0.0,856.9677698,0.0,28.51697826,23.0,6.069581091,4.0
26440,부산광역시,강서구,2025,143248.2759,20771.0,224.6666667,5.0,1.0,156.8372571,3.490443407,0.698088681,0.876969785,0.0,558.8806615,335.0,18.5976512,14.0,3.958341975,3.0
26410,부산광역시,금정구,2025,212611.1111,57405.0,561.3333333,7.0,1.0,264.0188137,3.292396133,0.470342305,0.933520497,1.0,829.4985591,269.0,27.60289618,21.0,5.87502698,5.0
26710,부산광역시,기장군,2025,173475.0,34695.0,390.3333333,5.0,2.0,225.0084066,2.882259692,1.152903877,0.888486066,0.0,676.809701,287.0,22.52192931,18.0,4.793589103,3.0
26290,부산광역시,남구,2025,255962.8099,61943.0,672.2666667,7.0,1.0,262.6423217,2.734772291,0.390681756,0.932871268,1.0,998.6344594,327.0,33.23116478,27.0,7.072953085,7.0
26170,부산광역시,동구,2025,86772.57525,25945.0,476.0,9.0,4.0,548.5604163,10.37194064,4.609751397,0.735070759,0.0,338.541696,0.0,11.26551841,3.0,2.397763777,0.0
26260,부산광역시,동래구,2025,262974.6835,62325.0,1030.666667,8.0,4.0,391.9261933,3.04211793,1.521058965,0.867914566,0.0,1025.991163,0.0,34.141503,27.0,7.266710347,4.0
26230,부산광역시,부산진구,2025,361502.1459,84230.0,2056.333333,9.0,4.0,568.8301872,2.489611777,1.106494123,0.859850245,0.0,1410.394347,0.0,46.93313604,38.0,9.989293831,6.0
26320,부산광역시,북구,2025,263163.2653,64475.0,759.0666667,5.0,3.0,288.4394468,1.899961225,1.139976735,0.911028386,1.0,1026.726911,268.0,34.16598621,30.0,7.271921377,5.0
26530,부산광역시,사상구,2025,202210.5263,49946.0,583.2,5.0,3.0,288.4122853,2.472670484,1.48360229,0.894600548,0.0,788.920858,206.0,26.25260803,22.0,5.587630353,3.0
26380,부산광역시,사하구,2025,289451.3619,74389.0,771.5333333,6.0,1.0,266.5502516,2.07288712,0.345481187,0.944027164,1.0,1129.289463,358.0,37.57891978,32.0,7.998333443,7.0
26140,부산광역시,서구,2025,101493.2886,30245.0,1294.533333,6.0,4.0,1275.486637,5.911720946,3.941147297,0.702003676,0.0,395.9743035,0.0,13.17668062,8.0,2.804537381,0.0
26500,부산광역시,수영구,2025,167843.2836,44982.0,707.0,7.0,3.0,421.2262683,4.170557112,1.787381619,0.862560889,0.0,654.8376571,0.0,21.79077427,15.0,4.637969363,2.0
26470,부산광역시,연제구,2025,214323.4043,50366.0,708.6666667,8.0,1.0,330.6529537,3.732676806,0.466584601,0.908365609,1.0,836.179041,128.0,27.82519994,20.0,5.922342327,5.0
26200,부산광역시,영도구,2025,105269.1131,34423.0,268.1333333,4.0,2.0,254.7122563,3.799785027,1.899892514,0.9062585,1.0,410.7056175,143.0,13.66688874,10.0,2.908873749,1.0
26110,부산광역시,중구,2025,38557.27554,12454.0,298.9333333,6.0,1.0,775.2968257,15.56126546,2.593544243,0.750042339,0.0,150.4305412,0.0,5.005817749,0.0,1.065443066,1.0
26350,부산광역시,해운대구,2025,360150.8621,83555.0,1479.0,7.0,3.0,410.6612411,1.943629944,0.832984262,0.898330356,0.0,1405.122336,0.0,46.75770143,40.0,9.951954159,7.0
11680,서울특별시,강남구,2025,547216.3743,93574.0,7553.133333,9.0,5.0,1380.282771,1.644687627,0.913715348,0.661553289,0.0,2134.955185,0.0,71.04406108,63.0,15.12108632,11.0
11740,서울특별시,강동구,2025,458606.0606,90804.0,2308.733333,7.0,3.0,503.4240782,1.526364477,0.654156205,0.87548444,0.0,1789.243584,0.0,59.53995259,53.0,12.6725408,10.0
11305,서울특별시,강북구,2025,275100.3861,71251.0,795.4666667,6.0,3.0,289.1550528,2.181022021,1.09051101,0.915527639,1.0,1073.299381,278.0,35.7157599,30.0,7.6017767,5.0
11500,서울특별시,강서구,2025,544215.0,108843.0,2048.0,8.0,5.0,376.3218581,1.470007258,0.918754536,0.887985588,0.0,2123.245375,76.0,70.65439837,63.0,15.03815013,11.0
11620,서울특별시,관악구,2025,484776.5957,91138.0,1197.066667,7.0,4.0,246.9316129,1.443964098,0.825122342,0.908764669,1.0,1891.347473,695.0,62.9376234,56.0,13.39570432,10.0
11215,서울특별시,광진구,2025,341783.3333,61521.0,1269.866667,5.0,2.0,371.5414249,1.462915102,0.585166041,0.891632083,0.0,1333.461742,64.0,44.37308011,40.0,9.444409063,8.0
11530,서울특별시,구로구,2025,414410.9589,90756.0,1536.333333,8.0,2.0,370.7270043,1.930450879,0.48261272,0.912127817,1.0,1616.817162,81.0,53.8021866,46.0,11.45130916,10.0
11545,서울특별시,금천구,2025,242490.6542,51893.0,628.9333333,4.0,1.0,259.3639476,1.649548109,0.412387027,0.933670435,1.0,946.0730777,318.0,31.48210043,28.0,6.700680545,6.0
11350,서울특별시,노원구,2025,484827.7512,101329.0,1688.333333,7.0,3.0,348.2336416,1.443811742,0.618776461,0.910662812,1.0,1891.547055,204.0,62.94426481,56.0,13.39711788,11.0
